Date,Predicted_Pickups,Predicted_Returns
2024-12-31,1053,42
2025-01-02,1389,113
2025-01-03,1451,75
2025-01-04,1426,13
2025-01-06,1833,159
2025-01-07,1549,183
2025-01-08,1694,101
2025-01-09,1687,59
2025-01-10,1534,120
2025-01-11,2019,22
2025-01-13,1960,156
2025-01-14,2088,239
2025-01-15,1607,231
2025-01-16,1738,126
2025-01-17,3103,88
2025-01-18,3268,11
2025-01-20,3277,109
2025-01-21,3410,196
2025-01-22,3817,175
2025-01-23,3730,147
2025-01-24,4965,177
2025-01-25,4967,59
2025-01-27,4279,171
2025-01-28,3641,92
2025-01-29,3577,52
2025-01-30,4010,178
2025-02-03,5501,291
2023-04-11,25,140
2023-04-12,7,94
2023-04-13,11,39
2023-04-14,8,92
2023-04-15,34,11
2023-04-17,58,43
2023-04-18,64,97
2023-04-19,74,124
2023-04-20,91,105
2023-04-21,120,43
2023-04-22,112,14
2023-04-24,69,106
2023-04-25,56,25
2023-04-26,70,112
2023-04-27,55,125
2023-04-28,72,57
2023-04-29,85,18
2023-05-01,82,118
2023-05-02,63,114
2023-05-03,47,28
2023-05-04,62,29
2023-05-05,86,124
2023-05-08,73,62
2023-05-09,89,182
2023-05-10,68,161
2023-05-11,48,185
2023-05-12,47,79
2023-05-15,93,284
2023-05-16,60,301
2023-05-17,45,208
2023-05-18,71,212
2023-05-19,105,224
2023-05-20,133,5
2023-05-22,185,156
2023-05-23,190,203
2023-05-24,195,176
2023-05-25,199,236
2023-05-26,232,77
2023-05-27,216,2
2023-05-29,182,44
2023-05-30,184,182
2023-05-31,153,131
2023-06-01,120,77
2023-06-02,164,57
2023-06-03,162,42
2023-06-05,132,45
2023-06-06,123,133
2023-06-07,68,114
2023-06-08,64,75
2023-06-09,95,37
2023-06-10,114,30
2023-06-12,86,128
2023-06-13,64,365
2023-06-14,31,223
2023-06-15,30,210
2023-06-16,59,120
2023-06-17,88,7
2023-06-19,109,93
2023-06-20,112,163
2023-06-21,126,160
2023-06-22,160,303
2023-06-23,188,268
2023-06-24,196,8
2023-06-26,155,132
2023-06-27,135,199
2023-06-28,107,132
2023-06-29,115,148
2023-06-30,167,252
2023-07-01,181,28
2023-07-03,190,271
2023-07-06,181,225
2023-07-07,137,520
2023-07-08,63,134
2023-07-10,156,265
2023-07-11,159,245
2023-07-12,161,359
2023-07-13,175,120
2023-07-14,212,71
2023-07-17,221,197
2023-07-18,314,97
2023-07-19,303,28
2023-07-20,323,130
2023-07-21,229,49
2023-07-22,242,12
2023-07-24,204,205
2023-07-25,180,100
2023-07-26,100,183
2023-07-27,81,142
2023-07-28,96,90
2023-07-29,72,37
2023-07-31,83,118
2023-08-01,100,226
2023-08-02,78,179
2023-08-03,94,4
2023-08-04,149,78
2023-08-05,129,5
2023-08-07,135,91
2023-08-08,119,162
2023-08-09,97,204
2023-08-10,88,145
2023-08-11,114,74
2023-08-14,118,556
2023-08-15,33,366
2023-08-16,6,155
2023-08-17,57,141
2023-08-18,89,121
2023-08-19,164,1
2023-08-21,209,179
2023-08-22,226,277
2023-08-23,216,143
2023-08-24,250,115
2023-08-25,297,80
2023-08-26,198,12
2023-08-28,138,205
2023-08-29,122,185
2023-08-30,111,143
2023-08-31,113,236
2023-09-01,153,168
2023-09-02,145,15
2023-09-05,123,287
2023-09-06,94,204
2023-09-07,98,190
2023-09-08,117,296
2023-09-09,163,18
2023-09-11,172,313
2023-09-12,154,432
2023-09-13,143,149
2023-09-14,135,208
2023-09-15,140,191
2023-09-16,230,12
2023-09-18,222,175
2023-09-19,230,174
2023-09-20,237,113
2023-09-21,212,153
2023-09-22,266,91
2023-09-23,237,24
2023-09-25,156,111
2023-09-26,160,109
2023-09-27,134,113
2023-09-28,107,293
2023-09-29,125,111
2023-09-30,114,5
2023-10-02,110,185
2023-10-03,101,171
2023-10-04,84,95
2023-10-05,95,206
2023-10-06,125,105
2023-10-07,137,6
2023-10-09,151,129
